,COND_NB_HIST_RECL_CAT,VEH_CAMERA_IND,VEH_AGE_NUM,VEH_MANUFACTURIER_CAT,VEH_GARE_LATITUDE_NUM,POL_NB_COND_TOTAL_CAT,VEH_GARE_MUNICIPALITE_CAT,RECL_DIST_ACCIDENT_GARE_NUM,RECL_TYPE_SINISTRE_CAT,RECL_COUT_REPARATION_NUM,VEH_GARE_LONGITUDE_NUM,POL_FRANCHISE_NUM,VEH_PRIME_ANNUELLE_NUM,VEH_VALEUR_ACTUELLE_NUM,VEH_STATIONNEMENT_AUTO_IND,COND_PERMIS_DATE_DT,VEH_STYLE_CARR_CAT,VEH_GARE_LATITUDE_NUM
11,0.0,0.0,1.0,6.0,-79.2368,2.0,5.0,10.0,2.0,28415.2,43.7717,500.0,720.44,32677.0,0.0,19680731.0,6.0,-79.2368
12,0.0,1.0,12.0,6.0,-64.7927,1.0,1.0,17.0,7.0,19324.583939899363,46.0883,1000.0,230.76,9631.0,0.0,20140103.0,1.0,-64.7927
13,3.0,1.0,8.0,7.0,-71.1995,2.0,4.0,4.0,6.0,816.6218536141506,46.8944,1000.0,503.02,18280.0,0.0,20150928.0,6.0,-71.1995
14,1.0,0.0,5.0,6.0,-63.6751,2.0,2.0,9.0,7.0,55775.21155488218,44.7699,1000.0,634.97,27498.0,0.0,19560203.0,6.0,-63.6751
15,0.0,0.0,2.0,7.0,-122.7979,2.0,10.0,29.0,2.0,15000.8,49.0492,1000.0,393.78,15938.0,0.0,20181201.0,3.0,-122.7979
16,0.0,1.0,8.0,8.0,-79.5385,1.0,11.0,35.0,3.0,35132.5,43.6881,1000.0,601.83,21662.0,0.0,19540727.0,0.0,-79.5385
17,0.0,1.0,2.0,5.0,-64.7979,2.0,1.0,11.0,4.0,22636.60293464325,46.1055,500.0,712.39,26189.0,0.0,19941216.0,5.0,-64.7979
18,1.0,0.0,3.0,7.0,-113.8105,1.0,12.0,35.0,9.0,28683.401932533947,52.301,1000.0,441.87,16871.0,0.0,19790304.0,7.0,-113.8105
19,0.3333333333333333,0.0,3.0,3.0,-71.2629,2.0,4.0,20.0,7.0,24776.815456168795,46.8583,1000.0,722.16,24640.0,0.0,20200909.0,6.0,-71.2629
20,0.0,1.0,7.0,4.0,-71.1696,2.0,4.0,7.0,6.0,1428.1713556285104,46.8986,500.0,573.99,20672.0,0.0,19600930.0,6.0,-71.1696
21,0.0,1.0,6.0,9.0,-122.9232,2.0,8.0,24.0,6.0,1108.2979847158208,49.1586,1000.0,446.38,16512.0,0.0,19670403.0,2.6666666666666665,-122.9232
22,0.0,0.0,1.0,10.0,-79.3248,1.0,13.0,27.0,7.0,16502.73280306633,43.6933,500.0,621.58,23773.0,0.0,20170701.0,3.0,-79.3248
23,0.0,0.6666666666666666,4.0,0.0,-60.0912,2.0,14.0,17.0,8.0,15872.05,46.255,1000.0,379.27,13444.0,0.0,19841001.0,3.0,-60.0912
24,0.0,1.0,3.0,0.0,-104.6179,1.0,15.0,22.0,2.0,12395.876126486855,50.448,500.0,477.3,21815.0,0.0,19940609.0,2.0,-104.6179
25,0.0,0.0,5.0,9.0,-73.654,2.0,3.0,17.0,7.0,41557.091334673736,45.4997,500.0,525.65,20862.0,0.0,20111205.0,1.0,-73.654
26,0.0,1.0,1.0,9.0,-64.7848,1.0,1.0,13.0,5.0,31922.630300561246,46.1027,1000.0,768.81,31782.0,0.0,19780828.0,2.0,-64.7848
27,0.0,1.0,1.0,3.0,-60.0835,2.0,16.0,4.0,6.0,867.0442110125292,46.2304,1000.0,454.38,17962.0,0.0,20150717.0,3.0,-60.0835
28,0.0,1.0,6.0,11.0,-73.6367,1.0,17.0,2.0,6.0,1120.4933508893082,45.5765,1000.0,726.94,25195.0,0.0,19790406.33333333,0.0,-73.6367
29,0.0,1.0,4.0,7.0,-63.1074,1.0,18.0,13.0,5.0,14641.381985919032,46.2702,500.0,497.4,20593.0,0.0,20020909.0,2.0,-63.1074
30,0.0,1.0,8.0,3.0,-73.6457,2.0,17.0,8.0,6.0,1041.979077013939,45.5855,500.0,253.89,9794.0,0.0,20031207.0,3.0,-73.6457
31,0.0,1.0,4.0,4.0,-64.3866,1.0,19.0,10.0,4.0,16856.955498253657,46.2047,1000.0,776.26,27231.0,0.0,19830715.0,6.0,-64.3866
32,1.0,1.0,1.0,0.0,-64.8189,1.0,1.0,34.0,4.0,5565.082182692216,46.1019,500.0,416.06,20009.0,0.0,19541111.0,0.0,-64.8189
33,0.0,0.0,1.0,4.0,-112.8288,2.0,20.0,10.0,1.0,29376.78847394048,49.7132,1000.0,1062.49,50119.0,0.0,19913678.0,4.0,-112.8288
34,0.0,1.0,2.0,8.0,-64.5128,1.0,7.0,0.0,8.0,42260.3,46.2165,250.0,1176.27,42260.0,0.0,19860419.0,6.0,-64.5128
35,0.0,1.0,8.0,12.0,-73.5891,2.0,3.0,11.0,8.0,39097.45,45.4765,500.0,664.19,23458.0,0.0,19891117.0,0.0,-73.5891
36,0.0,1.0,6.0,6.0,-73.7301,2.0,21.0,7.0,6.0,500.0,45.4572,1000.0,691.73,26162.0,0.0,20201225.0,4.0,-73.7301
37,0.0,1.0,1.0,11.0,-122.8445,2.0,10.0,5.0,10.0,5309.731858009964,49.0566,1000.0,789.26,32395.0,0.0,19640512.0,0.0,-122.8445
38,0.0,1.0,5.0,0.0,-63.1389,2.0,18.0,29.0,2.0,14829.2164530338,46.2329,1000.0,394.28,17379.0,0.0,19990707.0,6.0,-63.1389
39,0.0,0.0,1.0,4.0,-64.2178,2.0,22.0,23.0,3.0,32030.1,45.8341,1000.0,1105.12,47462.0,0.0,19891217.0,4.0,-64.2178
40,1.0,0.0,4.0,6.0,-64.7829,2.0,1.0,2.0,7.0,44119.62156149885,46.1628,500.0,554.67,23121.0,0.0,19560606.0,5.0,-64.7829
41,0.0,0.0,3.0,7.0,-79.5785,2.0,11.0,20.0,7.0,33291.185306966705,43.6352,1000.0,347.48,13950.0,0.0,19580704.0,3.0,-79.5785
42,0.0,0.0,2.0,7.0,-103.8325,2.0,23.0,0.0,11.0,15276.1,49.6626,2000.0,448.05,18549.0,0.0,19864346.666666668,0.0,-103.8325
43,0.0,0.0,2.0,6.0,-115.8,3.0,24.0,4.0,2.0,32868.0,49.4832,500.0,683.97,34922.0,0.0,19820421.0,6.0,-115.8
44,0.0,1.0,3.0,5.0,-123.4975,1.0,25.0,6.0,2.0,34638.96350976867,48.4189,1000.0,790.75,38799.0,0.0,20070429.0,4.0,-123.4975
45,0.0,1.0,3.0,12.0,-71.1565,3.0,4.0,0.0,8.0,44488.15,46.8857,500.0,946.93,40824.0,0.0,20050810.0,6.0,-71.1565
46,0.0,0.0,1.0,1.0,-103.8319,2.0,23.0,0.0,10.0,7494.7966974222845,49.6728,500.0,614.22,25067.0,0.0,20150516.0,3.0,-103.8319
47,0.0,0.0,2.0,4.0,-71.3227,1.0,4.0,0.0,11.0,36747.9,46.817,500.0,1203.28,44622.0,0.0,20070807.0,4.0,-71.3227
48,1.0,1.0,1.0,7.0,-107.7989,2.0,9.0,2.0,7.0,27688.7469132778,50.2956,500.0,474.28,17491.0,0.0,19611115.0,1.0,-107.7989
49,0.0,0.0,1.0,4.0,-71.2523,2.0,4.0,7.0,2.0,31941.6,46.8598,1000.0,953.37,36732.0,0.0,19650528.0,6.0,-71.2523
50,0.0,1.0,3.0,3.0,-112.8162,2.0,20.0,0.0,8.0,19544.9,49.7147,2000.0,543.32,17935.0,0.0,20190127.0,7.0,-112.8162
51,0.0,1.0,3.0,13.0,-64.8016,2.0,1.0,3.0,7.0,14627.158794604891,46.1033,500.0,299.74,13439.0,0.0,20201005.0,1.0,-64.8016
52,0.0,1.0,4.0,6.0,-64.7154,1.0,6.0,3.0,4.0,44376.67394493531,45.9033,1000.0,946.28,40749.0,0.0,20220409.0,4.0,-64.7154
53,0.0,1.0,5.0,13.0,-115.7908,2.0,24.0,26.0,2.0,16154.4,49.5015,1000.0,324.86,13327.0,0.0,19760123.0,1.6666666666666667,-115.7908
54,3.0,0.0,5.0,3.0,-72.2653,2.0,26.0,14.0,2.0,18273.6,46.4023,500.0,348.43,15075.0,0.0,19880222.0,1.0,-72.2653
55,0.0,1.0,2.0,4.0,-52.7097,1.0,27.0,0.0,8.0,27120.1,47.5719,1000.0,617.15,27120.0,0.0,19591014.0,1.0,-52.7097
56,0.0,1.0,3.0,12.0,-113.8131,1.0,12.0,0.0,0.0,5053.268009227493,52.2915,1000.0,1002.63,45656.0,0.0,20041225.0,0.0,-113.8131
57,0.0,1.0,4.0,6.0,-73.5841,2.0,28.0,0.0,10.0,5027.444458730137,45.4383,500.0,898.07,35714.0,0.0,20110101.0,4.0,-73.5841
58,0.0,0.0,8.0,5.0,-64.5117,1.0,29.0,1.0,8.0,45429.1,46.2365,1000.0,659.49,27257.0,0.0,20161126.0,4.0,-64.5117
59,0.0,1.0,2.0,5.0,-72.6553,2.0,30.0,5.0,2.0,41614.4,46.3929,1000.0,1229.81,44215.0,0.0,19830620.0,4.0,-72.6553
60,1.0,1.0,4.0,0.0,-66.1702,1.0,31.0,10.0,3.0,13206.4,46.6013,2000.0,366.51,14665.0,0.0,19740226.0,0.0,-66.1702
61,0.0,0.0,4.0,9.0,-72.7518,2.0,32.0,9.0,2.0,21551.2,46.5229,500.0,482.29,19396.0,0.0,19690204.0,7.0,-72.7518
62,0.0,1.0,3.0,14.0,-64.3625,2.0,33.0,11.0,2.0,79080.21458909524,45.0904,1000.0,2885.48,110426.0,0.0,19750904.0,6.0,-64.3625
63,0.0,0.0,3.0,3.0,-124.1376,3.0,34.0,12.0,4.0,7806.827941728356,49.2859,500.0,421.74,16399.0,0.0,19990718.0,3.0,-124.1376
64,0.0,1.0,2.0,6.0,-72.5104,2.0,26.0,32.0,7.0,57978.81212574364,46.3335,2000.0,1052.12,41196.0,0.0,20121119.0,4.0,-72.5104
65,0.0,1.0,6.0,6.0,-71.2438,2.0,4.0,4.0,6.0,829.2188627664859,46.8538,500.0,504.94,19568.0,0.0,19561222.0,6.0,-71.2438
66,1.0,0.0,0.0,5.0,-112.8329,2.0,20.0,27.0,3.0,35986.72,49.7058,500.0,911.72,36968.0,0.0,19660605.0,5.0,-112.8329
67,0.0,1.0,4.0,11.0,-64.5123,3.0,35.0,20.0,9.0,36250.376224543805,46.2398,500.0,467.99,22492.0,0.0,20160705.0,0.0,-64.5123
68,0.0,1.0,8.0,10.0,-73.8607,2.0,36.0,5.0,4.0,22512.06905975297,45.459,1000.0,440.08,16810.0,0.0,19670114.0,2.0,-73.8607
69,0.0,0.0,1.0,10.0,-61.6177,2.0,37.0,0.0,11.0,15272.6,45.3044,500.0,511.46,20072.0,0.0,19840424.0,0.0,-61.6177
70,0.0,1.0,3.0,3.0,-79.1361,2.0,5.0,3.0,4.0,17069.681851582587,43.7978,1000.0,434.04,17120.0,0.0,19800521.0,3.0,-79.1361
71,0.0,1.0,3.0,2.0,-63.0622,2.0,38.0,11.0,4.0,19454.65093944689,46.2907,1000.0,592.4933333333333,16652.0,0.0,19930608.0,0.0,-63.0622
72,0.0,1.0,6.0,2.0,-123.4889,2.0,25.0,12.0,6.0,545.1098317431034,48.4156,1000.0,295.89,11957.0,0.0,19861025.0,0.0,-123.4889
73,0.0,1.0,3.0,4.0,-124.1937,2.0,34.0,33.0,7.0,54839.633452018,49.2626,500.0,465.5466666666667,35081.0,0.0,20030625.0,4.0,-124.1937
74,1.0,1.0,5.0,5.0,-64.2093,2.0,22.0,20.0,7.0,52821.661869200565,45.834,500.0,741.8,30472.0,0.0,20060614.0,4.0,-64.2093
75,0.0,0.0,6.0,7.0,-64.5065,2.0,29.0,14.0,5.0,15248.818991407934,46.2348,1000.0,374.53,14003.0,0.0,19850104.0,0.0,-64.5065
76,0.0,1.0,2.0,5.0,-79.2322,2.0,5.0,39.0,4.0,26201.97999612257,43.7777,500.0,576.15,27029.0,0.0,20110514.0,5.0,-79.2322
77,1.0,0.0,3.0,9.0,-71.22,1.0,4.0,0.0,11.0,16464.0,46.8867,2000.0,436.63,18345.0,0.0,20220208.0,7.0,-71.22
78,1.0,1.0,9.0,10.0,-73.6015,2.0,39.0,0.0,8.0,19351.1,45.5926,1000.0,238.06,10700.0,0.0,19860604.0,1.0,-73.6015
79,1.0,0.0,4.0,10.0,-72.7386,3.0,32.0,0.0,0.0,18822.4,46.5168,500.0,304.68,15943.0,0.0,19820912.0,7.0,-72.7386
80,0.0,0.0,8.0,2.0,-71.3769,2.0,4.0,7.0,6.0,1527.0810661116434,46.8693,1000.0,360.14,13159.0,0.0,19630817.0,6.0,-71.3769
81,0.0,0.0,1.0,3.0,-79.395,1.0,40.0,3.0,7.0,26702.226724203363,43.7074,500.0,678.98,29179.0,0.0,19810907.0,6.0,-79.395
82,0.0,1.0,5.0,1.0,-119.4243,2.0,41.0,26.0,2.0,18207.997472076346,50.1945,1000.0,530.02,21182.0,0.0,20190531.0,6.0,-119.4243
83,0.0,0.0,11.0,4.0,-64.2059,2.0,22.0,4.0,11.0,23823.1,45.8189,1000.0,341.27,13613.0,0.0,19841211.0,5.0,-64.2059
84,0.0,0.0,2.333333333333333,6.0,-64.8116,2.0,1.0,21.0,2.0,36197.6,46.1055,1000.0,1221.84,45247.0,0.0,20000131.0,4.0,-64.8116
85,0.0,1.0,6.0,3.0,-122.932,2.0,8.0,11.0,4.0,23620.57032489971,49.1617,1000.0,419.34,17736.0,0.0,19531120.0,2.0,-122.932
86,0.0,0.0,4.0,5.0,-111.3554,1.0,42.0,5.0,0.0,32237.1,56.6876,1000.0,620.36,27306.0,0.0,20110127.0,6.0,-111.3554
87,0.0,1.0,6.0,7.0,-122.917,2.0,8.0,31.0,9.0,21352.69617057484,49.143,250.0,507.03,20381.0,0.0,20020813.0,6.0,-122.917
88,0.0,1.0,3.0,10.0,-73.5888,2.0,39.0,0.0,10.0,6431.218333482521,45.5933,1000.0,400.61,18583.0,0.0,19600527.0,7.0,-73.5888
89,0.0,1.0,8.0,4.0,-64.4253,1.0,43.0,8.0,2.0,20763.82393016978,46.2369,500.0,470.43,20441.0,0.0,19790119.0,5.0,-64.4253
90,1.0,0.0,7.0,9.0,-79.3801,2.0,40.0,6.0,4.0,8875.342304875361,43.7116,2000.0,362.03,14152.0,0.0,19731214.0,7.0,-79.3801
91,0.0,0.0,9.0,1.0,-60.0868,3.0,14.0,16.0,5.0,22520.77272583185,46.2471,500.0,266.09,11170.0,0.0,19800601.0,0.0,-60.0868
92,2.0,1.0,6.0,3.0,-122.9174,2.0,8.0,1.0,10.0,6431.267638538426,49.1379,1000.0,322.72,11621.0,0.0,20170901.0,0.0,-122.9174
93,0.0,1.0,6.0,2.0,-73.8739,1.0,44.0,25.0,2.0,12887.778322834229,45.487,500.0,284.51,10538.0,0.0,19880427.0,1.0,-73.8739
94,0.0,1.0,2.0,15.0,-79.2608,1.0,5.0,14.0,3.0,32205.937500000004,43.7566,500.0,759.76,27894.0,0.0,20170303.0,7.0,-79.2608
95,1.0,1.0,3.0,3.0,-71.2796,1.0,4.0,0.0,8.0,23701.4,46.8548,500.0,476.8,21749.0,0.0,19810223.0,6.0,-71.2796
96,1.0,1.0,4.666666666666667,3.0,-79.1332,2.0,5.0,4.0,7.0,35099.494477007014,43.7851,1000.0,523.23,19113.0,0.0,19820708.0,7.0,-79.1332
97,1.0,0.0,7.0,13.0,-64.8117,1.0,1.0,0.0,12.0,12425.7,46.1122,500.0,222.0,9940.0,0.0,19700207.0,7.0,-64.8117
98,0.0,0.0,3.0,3.0,-52.7114,2.0,27.0,0.0,12.0,19439.7,47.5595,250.0,602.74,21661.0,0.0,19761021.0,2.0,-52.7114
99,0.0,0.0,8.0,15.0,-112.8047,1.0,20.0,10.0,4.0,19733.990797250342,49.7136,500.0,683.41,28648.0,0.0,19721205.0,4.0,-112.8047
100,0.0,0.0,1.0,4.0,-112.8065,2.0,20.0,2.0,7.0,36776.047826612776,49.7127,500.0,807.78,33065.0,0.0,19901226.0,6.0,-112.8065
101,0.0,0.6666666666666666,3.0,9.0,-79.2431,2.0,5.0,12.0,6.0,500.0,43.7782,500.0,420.98,16482.0,0.0,19910125.0,7.0,-79.2431
102,2.0,1.0,1.0,7.0,-63.6751,2.0,2.0,7.0,4.0,10581.01403321389,44.7596,1000.0,402.39,19794.0,0.0,19670821.0,3.0,-63.6751
103,1.0,0.0,4.0,1.0,-114.0916,2.0,45.0,9.0,2.0,16504.8,51.7951,500.0,352.94,14854.0,0.0,19740310.0,1.0,-114.0916
104,0.0,0.0,2.0,5.0,-97.4015,1.0,46.0,1.0,5.0,21185.67434195854,49.8214,500.0,924.8,38917.0,0.0,19660411.0,4.0,-97.4015
105,0.0,1.0,6.0,2.0,-60.0832,1.0,14.0,20.0,2.0,26764.0,46.2477,500.0,762.29,28436.0,0.0,19800126.0,2.0,-60.0832
106,0.0,1.0,3.0,7.0,-71.1658,3.0,4.0,7.0,2.0,20480.28609445791,46.8757,250.0,556.6,24213.0,0.0,19831027.0,1.0,-71.1658
107,0.0,0.0,2.0,9.0,-72.7546,2.0,32.0,6.0,7.0,15168.903377580948,46.5274,500.0,445.74,18672.0,0.0,19580227.0,7.0,-72.7546
108,0.0,1.0,9.0,0.0,-60.1855,2.0,47.0,0.0,0.0,6051.7911208318,46.1286,250.0,314.54,13523.0,0.0,19711123.0,2.0,-60.1855
109,0.0,1.0,3.0,11.0,-60.1821,2.0,47.0,2.0,1.0,9114.603368957049,46.1313,1000.0,745.46,32353.0,0.0,19790328.0,0.0,-60.1821
110,1.0,1.0,5.0,6.0,-72.7341,2.0,32.0,45.0,7.0,33025.28377737158,46.519,500.0,365.92,16343.0,0.0,19580523.0,1.0,-72.7341
111,0.0,0.0,10.0,3.0,-72.7585,2.0,32.0,0.0,0.0,1105.907825470952,46.525,500.0,223.33,9614.0,0.0,19850113.0,7.0,-72.7585
112,0.0,1.0,2.0,11.0,-79.5758,1.0,11.0,0.0,8.0,27177.05,43.662,1000.0,821.69,27177.0,1.0,19731125.0,0.0,-79.5758
113,1.0,0.0,6.0,0.0,-112.8142,3.0,20.0,3.0,0.0,16626.0,49.7156,250.0,294.04,11931.0,0.0,20150517.0,1.0,-112.8142
114,1.0,1.0,6.0,9.0,-64.5146,2.0,29.0,16.0,4.0,25177.882278463123,46.2348,1000.0,387.55,13979.0,0.0,19770852.0,3.0,-64.5146
115,1.0,0.0,7.0,0.0,-72.5826,3.0,30.0,9.0,4.0,19489.56655226955,46.3632,250.0,258.22,11373.0,0.0,19590922.0,7.0,-72.5826
116,4.0,0.0,6.0,0.0,-73.8821,2.0,44.0,0.0,0.0,6370.550079638644,45.5069,500.0,301.31,10160.0,0.0,19541101.0,3.0,-73.8821
117,1.0,1.0,7.0,6.0,-79.2265,1.0,5.0,17.0,1.0,11715.890901478591,43.7621,250.0,563.65,22120.0,0.0,19861017.0,5.0,-79.2265
118,0.6666666666666666,0.0,2.0,15.0,-59.9699,2.0,48.0,11.0,9.0,18935.728338057743,45.922,500.0,768.99,34810.0,0.0,19740927.0,6.0,-59.9699
119,1.0,1.0,2.0,9.0,-63.6857,2.0,2.0,0.0,8.0,19340.05,44.7893,1000.0,503.97,19340.0,0.0,19511031.0,7.0,-63.6857
120,1.0,1.0,7.0,5.0,-64.2092,1.0,22.0,3.0,6.0,1233.7250653987503,45.83,1000.0,595.54,25840.0,0.0,19801223.0,4.0,-64.2092
121,0.0,0.0,3.0,7.0,-64.8083,2.0,1.0,3.0,4.0,17501.092618023235,46.0978,1000.0,566.36,23836.0,0.0,20220320.0,6.0,-64.8083
122,0.3333333333333333,0.0,6.0,7.0,-122.897,2.0,8.0,18.0,3.0,11110.0,49.1588,1000.0,296.78,14209.0,0.0,20120807.0,0.0,-122.897
123,4.0,1.0,5.0,6.0,-114.472,2.0,49.0,17.0,7.0,27945.815975656416,51.1846,500.0,692.89,26502.0,0.0,20200204.0,6.0,-114.472
124,0.0,1.0,3.0,3.0,-122.9277,3.0,8.0,20.0,4.0,20020.09147628316,49.1495,1000.0,572.02,24983.0,0.0,19931111.0,6.0,-122.9277
125,0.0,0.0,1.0,9.0,-66.065,2.0,50.0,23.0,4.0,4929.040909551497,45.8649,1000.0,542.04,19722.0,0.0,19780430.0,3.0,-66.065
126,0.0,1.0,4.0,8.0,-113.0282,2.0,51.0,8.0,4.0,32859.46959088616,50.9796,1000.0,1094.32,38740.0,0.0,20161114.0,2.0,-113.0282
127,0.0,1.0,4.0,8.0,-113.3832,3.0,52.0,0.0,10.0,4782.693159504519,51.0631,500.0,1029.42,44851.0,0.0,20071031.0,6.0,-113.3832
128,1.0,0.0,2.0,2.0,-71.2563,1.0,4.0,14.0,10.0,6879.875252096045,46.869,500.0,367.23,15776.0,0.0,20131224.0,3.0,-71.2563
129,0.0,1.0,3.0,13.0,-79.1675,2.0,5.0,14.0,4.0,33839.88947694981,43.7852,2000.0,476.87,20525.0,0.0,19670509.0,2.0,-79.1675
130,0.0,0.0,0.0,6.0,-104.5991,3.0,15.0,0.0,8.0,47095.1,50.4503,250.0,1470.46,55406.0,0.0,20041120.0,4.0,-104.5991
131,0.0,1.0,6.0,4.0,-52.7237,3.0,27.0,0.0,11.0,39163.6,47.565,500.0,894.95,34128.0,0.0,19601115.0,4.0,-52.7237
132,2.0,0.0,5.0,1.0,-72.7584,2.0,32.0,4.0,6.0,500.0,46.5245,1000.0,550.61,18256.0,0.0,19750303.0,6.0,-72.7584
133,3.0,0.0,3.0,3.0,-123.4892,2.0,25.0,34.0,7.0,25787.31045259787,48.4181,500.0,385.01,16380.0,0.0,19800501.0,0.0,-123.4892
134,0.0,0.0,2.0,3.0,-60.168,3.0,47.0,9.0,4.0,8361.722286744283,46.1366,250.0,414.83,16201.0,0.0,20070211.0,3.0,-60.168
135,1.0,1.0,2.0,2.0,-52.7144,2.0,27.0,6.0,4.0,22997.07412128556,47.5689,500.0,429.31,16053.0,0.0,20061115.0,3.0,-52.7144
136,0.0,0.0,0.0,7.0,-64.4415,2.0,7.0,0.0,0.0,4388.611679259353,46.1655,500.0,560.59,21069.0,0.0,19810608.0,0.0,-64.4415
137,1.0,1.0,6.0,0.0,-79.1695,3.0,5.0,31.0,7.0,41477.11873528934,43.7882,500.0,429.16,17215.0,0.0,20090203.0,6.0,-79.1695
138,0.0,1.0,2.0,5.0,-52.7246,2.0,27.0,0.0,11.0,31206.7,47.5656,1000.0,1096.76,37893.0,0.0,19561103.0,4.0,-52.7246
139,0.0,0.0,2.0,9.0,-115.7663,1.0,24.0,4.0,10.0,9431.731854649788,49.4985,1000.0,588.24,23114.0,0.0,20171110.0,0.0,-115.7663
140,0.0,0.0,4.0,13.0,-103.8581,2.0,23.0,10.0,8.0,14613.2,49.6722,2000.0,318.76,12378.0,0.0,19880116.0,3.0,-103.8581
141,0.0,0.0,6.0,1.0,-64.7893,2.0,1.0,33.0,2.0,27243.62726634556,46.1464,2000.0,737.1366666666667,21662.0,0.0,19971217.0,6.0,-64.7893
142,0.0,1.0,2.0,10.0,-122.8903,1.0,8.0,19.0,7.0,9864.010455621268,49.1742,500.0,471.18,16357.0,0.0,20040101.0,1.0,-122.8903
143,1.0,1.0,5.0,5.0,-123.4752,2.0,25.0,8.0,2.0,35490.4,48.4149,500.0,786.25,29279.0,0.0,20190115.0,4.0,-123.4752
144,1.0,1.0,1.0,16.0,-115.741,1.0,24.0,0.0,10.0,6704.178446182308,49.5083,500.0,3636.18,161222.0,0.0,20170210.0,2.0,-115.741
145,0.0,0.0,4.0,4.0,-122.9,2.0,8.0,26.0,3.0,14916.000000000002,49.1443,500.0,831.26,31418.0,0.0,20120712.0,6.0,-122.9
146,0.0,1.0,4.0,7.0,-114.098,2.0,45.0,32.0,7.0,29355.94315501531,51.7939,1000.0,664.15,24107.0,0.0,20150321.0,2.0,-114.098
147,0.0,1.0,5.0,11.0,-115.761,1.0,24.0,0.0,0.0,1000.0,49.5012,1000.0,580.19,22922.0,0.0,20170428.0,0.0,-115.761
148,0.0,1.0,2.0,17.0,-60.0723,2.0,14.0,30.0,2.0,43379.98791666569,46.2496,250.0,1553.12,56862.0,1.0,19920804.0,2.0,-60.0723
149,0.0,0.0,1.0,3.0,-79.151,1.0,5.0,17.0,5.0,24347.373426753045,43.7781,2000.0,444.09,17038.0,0.0,19840923.0,3.0,-79.151
150,0.0,1.0,4.0,5.0,-73.7338,2.0,21.0,28.0,4.0,34467.19324357921,45.4545,500.0,753.71,31407.0,0.0,19581028.0,4.0,-73.7338
151,1.0,1.0,9.0,1.0,-71.1732,1.0,4.0,34.0,6.0,1259.0426216231826,46.8988,1000.0,284.11,12312.0,0.0,19921027.0,0.0,-71.1732
152,0.0,1.0,2.0,9.0,-113.3914,1.0,52.0,9.0,5.0,35675.00465477637,51.0486,250.0,476.52,22317.0,0.0,20150411.0,1.0,-113.3914
153,0.0,1.0,3.0,8.0,-113.8104,3.0,12.0,0.0,0.0,3416.977639767104,52.3115,1000.0,915.36,38485.0,0.0,20151119.0,4.333333333333333,-113.8104
154,0.0,1.0,6.0,11.0,-115.7635,3.0,24.0,0.0,11.0,21754.6,49.5084,1000.0,451.01,18957.0,0.0,20141115.0,0.0,-115.7635
